Designator,Mid X,Mid Y,Rotation,Layer
C1,151.43,-83.41,180.0,top
C2,146.43,-78.41,270.0,top
D1,150.43,-98.06,180.0,top
D2,146.43,-73.41,270.0,top
J1,107.68,-81.8,270.0,top
J2,107.68,-102.12,270.0,top
J3,107.68,-71.64,270.0,top
J4,166.43,-82.01,180.0,top
J5,166.43,-107.41,180.0,top
Q1,114.03,-86.88,180.0,top
Q2,114.03,-91.96,180.0,top
Q3,114.03,-97.04,180.0,top
Q4,114.09,-107.2,180.0,top
Q5,114.03,-112.28,180.0,top
Q6,114.03,-117.36,180.0,top
R1,154.43,-97.41,270.0,top
R10,117.84,-112.28,90.0,top
R11,117.84,-107.2,90.0,top
R2,153.43,-112.41,180.0,top
R3,147.43,-112.41,180.0,top
R4,158.43,-95.41,0.0,top
R5,153.43,-115.41,0.0,top
R6,117.84,-86.88,90.0,top
R7,117.84,-91.96,90.0,top
R8,117.84,-97.04,90.0,top
R9,117.84,-117.36,90.0,top
U1,132.43,-93.23,0.0,top
U2,154.23,-100.61,270.0,top
U3,151.43,-77.41,90.0,top
